Project Data: GM7159/01-1100 OP2100.01 DryRun|Auto/No Fault|Cycle Complete
Process Data 1: 26, C 
Process Data 2: 26, C 
Process Data 3: 0, C 
Process Data 4: 0, C 
20.6.2024 8:20:34 Start Of Cycling, Cycle Nr.0 , Processed Time: 0h1min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:20:34 Error-free-Cycle finished, Cycle Nr.0 , Processed Time: 0h1min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:22:20 Error-free-Cycle finished, Cycle Nr.1 , Processed Time: 0h3min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:24:0 Error-free-Cycle finished, Cycle Nr.2 , Processed Time: 0h4min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:25:47 Error-free-Cycle finished, Cycle Nr.3 , Processed Time: 0h6min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:27:18 Error-free-Cycle finished, Cycle Nr.4 , Processed Time: 0h8min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:28:49 Error-free-Cycle finished, Cycle Nr.5 , Processed Time: 0h9min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:29:53 Cycle Faulted, Cycle Nr.6 , Processed Time: 0h10min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:30:23 Error-free-Cycle finished, Cycle Nr.6 , Processed Time: 0h11min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:31:9 Start Of Cycling, Cycle Nr.7 , Processed Time: 0h11min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:33:10 Error-free-Cycle finished, Cycle Nr.7 , Processed Time: 0h13min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:34:42 Error-free-Cycle finished, Cycle Nr.8 , Processed Time: 0h15min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:36:13 Error-free-Cycle finished, Cycle Nr.9 , Processed Time: 0h16min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:37:47 Error-free-Cycle finished, Cycle Nr.10 , Processed Time: 0h18min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:39:17 Error-free-Cycle finished, Cycle Nr.11 , Processed Time: 0h20min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:40:49 Error-free-Cycle finished, Cycle Nr.12 , Processed Time: 0h21min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:42:21 Error-free-Cycle finished, Cycle Nr.13 , Processed Time: 0h23min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:43:54 Error-free-Cycle finished, Cycle Nr.14 , Processed Time: 0h24min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:45:25 Error-free-Cycle finished, Cycle Nr.15 , Processed Time: 0h26min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:46:58 Error-free-Cycle finished, Cycle Nr.16 , Processed Time: 0h27min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:48:31 Error-free-Cycle finished, Cycle Nr.17 , Processed Time: 0h29min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:50:3 Error-free-Cycle finished, Cycle Nr.18 , Processed Time: 0h30min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:51:34 Error-free-Cycle finished, Cycle Nr.19 , Processed Time: 0h32min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:53:7 Error-free-Cycle finished, Cycle Nr.20 , Processed Time: 0h33min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:54:38 Error-free-Cycle finished, Cycle Nr.21 , Processed Time: 0h35min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:56:11 Error-free-Cycle finished, Cycle Nr.22 , Processed Time: 0h36min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:57:44 Error-free-Cycle finished, Cycle Nr.23 , Processed Time: 0h38min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
20.6.2024 8:59:15 Error-free-Cycle finished, Cycle Nr.24 , Processed Time: 0h40min , pData[1]: 26 , pData[2]: 26 , pData[3]: 0 , pData[4]: 0
